latitude,longitude
40.714224,-73.974562
40.744722,-73.946031
40.707914,-73.921447
40.707914,-73.921447
40.707914,-73.921447
40.707725,-73.921616
40.707639,-73.921704
40.707639,-73.921704
40.707837,-73.922705
40.707837,-73.922705
40.707573,-73.922954
40.707573,-73.922954
40.707837,-73.922705
40.707837,-73.922705
40.707975,-73.922528
40.707862,-73.922401
40.707793,-73.921951
40.707793,-73.921951
40.707793,-73.921951
40.707833,-73.921881
40.707870,-73.921670
40.707860,-73.921664
40.707860,-73.921664
40.707914,-73.921447
40.707914,-73.921447
40.707914,-73.921447
40.707914,-73.921447
40.707914,-73.921447
40.707318,-73.922039
40.707318,-73.922039
40.707318,-73.922039
40.707011,-73.922325
40.707011,-73.922325
40.706883,-73.922450
40.706803,-73.922547
40.706803,-73.922547
40.706803,-73.922547
40.706803,-73.922547
40.706746,-73.922599
40.706663,-73.922676
40.706816,-73.922721
40.706816,-73.922721
40.707573,-73.922954
40.668144,-73.990706
40.711822,-73.962484
40.668819,-73.987153
40.747197,-74.004356
40.746997,-73.993339
40.747108,-73.993356
40.738441,-74.003312
40.747516,-74.005495
40.744722,-73.946031
40.722752,-73.986081
40.746238,-73.965239
40.724166,-73.979164
40.697909,-73.954049
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.663941,-73.975089
40.704297,-73.933053
40.786044,-74.164911
40.706533,-73.931042
40.702561,-73.987131
40.757928,-73.844486
40.703155,-73.987512
40.747198,-74.005665
40.714671,-73.991160
40.745230,-73.966039
40.711175,-74.010612
40.699161,-73.939265
40.751944,-73.993334
40.745663,-74.002062
40.708030,-74.010892
40.724230,-73.984612
40.713069,-74.013133
40.722875,-74.005042
40.725000,-73.980837
40.727777,-73.982223
40.725833,-73.988337
40.755141,-73.990509
40.663941,-73.975089
40.714480,-73.957231
40.761647,-73.983967
40.724266,-73.992853
40.717672,-73.998198
40.744722,-73.946031
40.693215,-73.942773
40.739365,-73.995782
40.741572,-74.007723
40.744972,-73.945637
40.723122,-73.995575
40.722672,-73.997254
40.724961,-73.992948
40.724733,-73.992956
40.724527,-73.993028
40.719247,-74.005237
40.716072,-74.007348
40.723791,-74.000370
40.723791,-74.000370
40.721038,-74.000967
40.713402,-73.962089
40.721161,-73.996398
40.721511,-73.996734
40.721433,-73.997214
40.721305,-73.997350
40.721655,-73.997670
40.721813,-73.997959
40.722191,-73.996578
40.722372,-73.996292
40.723052,-73.995878
40.723080,-73.995642
40.723386,-73.995739
40.722672,-73.997254
40.722672,-73.997254
40.722672,-73.997254
40.722630,-73.992920
40.722052,-73.993695
40.720416,-73.994206
40.720552,-73.994206
40.720627,-73.994237
40.720513,-73.994312
40.720155,-73.994189
40.720922,-73.995439
40.721011,-73.995464
40.722569,-73.991987
40.722022,-73.989895
40.723330,-73.990650
40.723450,-73.990587
40.724425,-73.992131
40.724544,-73.992970
40.724544,-73.993014
40.724505,-73.992978
40.724538,-73.993012
40.724497,-73.992995
40.724547,-73.993320
40.747232,-73.993746
40.723938,-73.993020
40.721619,-74.002184
40.707850,-73.872428
40.707850,-73.872428
40.707850,-73.872428
40.715534,-73.991569
40.709197,-74.010406
40.715216,-73.992372
40.744722,-73.946031
40.744722,-73.946031
40.701105,-73.986901
40.709791,-73.933868
40.709791,-73.933868
40.709883,-73.933915
40.746833,-74.004862
40.714573,-73.999099
40.722502,-73.992286
40.744722,-73.946031
40.710058,-73.933485
40.710058,-73.933485
40.714080,-73.925743
40.710058,-73.933485
40.710058,-73.933485
40.710058,-73.933485
40.710058,-73.933485
40.774791,-73.909102
40.724102,-73.993398
