INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
43 WEST   65 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6,1011180005,3/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989655,220659,40.772333,-73.980486,10023,149,1028160,Lincoln Square,"(40.772333, -73.980486)"
1700 DITMAS AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052030001,3/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994870,171715,40.637989,-73.961735,11226,518,3120202,Flatbush,"(40.637989, -73.961735)"
504 EAST   11 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004040006,3/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989410,204604,40.728266,-73.981383,10009,34,1076974,East Village,"(40.728266, -73.981383)"
494 MADISON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016440006,3/7/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001445,189269,40.68616,-73.938,11221,277,3045053,Stuyvesant Heights,"(40.68616, -73.938)"
1770 PITKIN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035250113,3/6/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009832,183432,40.670119,-73.907781,11212,906,3348958,Brownsville,"(40.670119, -73.907781)"
49-09 NORTHERN BOULEVARD,QUEENS,01 QUEENS,Precinct 114,26,4007350005,3/2/2018,Open,Site to be cleaned.,,1008260,213788,40.753443,-73.91334,11101,163,4013651,Astoria,"(40.753443, -73.91334)"
5405 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008250008,3/1/2018,Open,Site to be cleaned.,,981324,172967,40.641431,-74.010543,11220,100,3014720,Sunset Park East,"(40.641431, -74.010543)"
137 FOUNTAIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041910011,2/27/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1018718,185888,40.67683,-73.875736,11208,1196,3389426,East New York,"(40.67683, -73.875736)"
110-54 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,4032927501,2/22/2018,Open,Site downloaded for cleaning,,1028821,201387,40.719326,-73.83921,11375,76901,4078799,Forest Hills,"(40.719326, -73.83921)"
201 11 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,3,1006700001,2/22/2018,Open,Graffiti Reported,,982457,212395,40.749652,-74.006471,10001,99,1012266,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.749652, -74.006471)"
104-04 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,21,4019350068,2/16/2018,Open,Site downloaded for cleaning,,1023486,210368,40.744001,-73.858404,11368,439,4047629,Corona,"(40.744001, -73.858404)"
35-21 9 STREET,QUEENS,01 QUEENS,Precinct 114,26,4003290017,2/15/2018,Open,Site downloaded for cleaning,,1000638,217231,40.76291,-73.940842,11106,39,4436743,Queensbridge-Ravenswood-Long Island City,"(40.76291, -73.940842)"
